Anlageschl;Einsatz-ID;Projektnummer;DSO Schl¸ssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entsch‰digungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E2325401HRA0000000SIEVE0000100005;SHN201411004653;27999;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;030;EEG;Netzengpass;Sieversted Eip_T101;TenneT
E2325401HRA0000000BDUPE0000100001;SHN201411004497;44510;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;000;EEG;Netzengpass;Barderup_T121;TenneT
E2325401HRA0000000BDUPE0000100002;SHN201411004497;44510;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;000;EEG;Netzengpass;Barderup_T121;TenneT
E20793010000000000000020884940001;SHN201500003755;13051;;Schleswig-Holstein Netz;04.10.2014;14:50:49;04.10.2014;18:00:35;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;Schleswig-Holstein Netz
E20793010000000000000017572060002;SHN201500003755;5881;;Schleswig-Holstein Netz;04.10.2014;14:50:49;04.10.2014;18:00:35;000;EEG;Netzengpass;Lindewitt;Schleswig-Holstein Netz
E20793018000000000000002395000002;SHN201500003755;2022;;Schleswig-Holstein Netz;04.10.2014;14:50:49;04.10.2014;18:00:35;000;EEG;Netzengpass;Lindewitt;Schleswig-Holstein Netz
E20793018000000000000002395000005;SHN201500003755;2022;;Schleswig-Holstein Netz;04.10.2014;14:50:49;04.10.2014;18:00:35;000;EEG;Netzengpass;Lindewitt;Schleswig-Holstein Netz
E20793018000000000000002395000007;SHN201500003755;2022;;Schleswig-Holstein Netz;04.10.2014;14:50:49;04.10.2014;18:00:35;000;EEG;Netzengpass;Lindewitt;Schleswig-Holstein Netz
E20793018000000000000002395000001;SHN201500003755;2022;;Schleswig-Holstein Netz;04.10.2014;14:50:49;04.10.2014;18:00:35;000;EEG;Netzengpass;Lindewitt;Schleswig-Holstein Netz
E20793018000000000000002395000006;SHN201500003755;2022;;Schleswig-Holstein Netz;04.10.2014;14:50:49;04.10.2014;18:00:35;000;EEG;Netzengpass;Lindewitt;Schleswig-Holstein Netz
E20793018000000000000002395000003;SHN201500003755;2022;;Schleswig-Holstein Netz;04.10.2014;14:50:49;04.10.2014;18:00:35;000;EEG;Netzengpass;Lindewitt;Schleswig-Holstein Netz
E20793010000000000000017572060001;SHN201500003755;5881;;Schleswig-Holstein Netz;04.10.2014;14:50:49;04.10.2014;18:00:35;000;EEG;Netzengpass;Lindewitt;Schleswig-Holstein Netz
E2079301EA01000000000046994300001;SHN201500003755;35959;;Schleswig-Holstein Netz;04.10.2014;14:50:49;04.10.2014;18:00:35;000;EEG;Netzengpass;Lindewitt;Schleswig-Holstein Netz
E20793018000000000000002395000004;SHN201500003755;2022;;Schleswig-Holstein Netz;04.10.2014;14:50:49;04.10.2014;18:00:35;000;EEG;Netzengpass;Lindewitt;Schleswig-Holstein Netz
E2079301EA01000000000046994300003;SHN201500003755;35959;;Schleswig-Holstein Netz;04.10.2014;14:50:49;04.10.2014;18:00:35;000;EEG;Netzengpass;Lindewitt;Schleswig-Holstein Netz
E2079301EA01000000000046994300002;SHN201500003755;35959;;Schleswig-Holstein Netz;04.10.2014;14:50:49;04.10.2014;18:00:35;000;EEG;Netzengpass;Lindewitt;Schleswig-Holstein Netz
E20793013000000000000002334000001;SHN201500003755;2453;;Schleswig-Holstein Netz;04.10.2014;14:50:49;04.10.2014;18:00:35;000;EEG;Netzengpass;Lindewitt;Schleswig-Holstein Netz
E20793019000000000000020293910001;SHN201410003756;11139;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 122;TenneT
E20793019000000000000021369550001;SHN201410003756;11139;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 122;TenneT
